19,
3.0,8.0,3.0,27.0,-27.0,0.0,2000,
3.0,6.0,3.0,27.0,27.0,0.0,2000,
3.0,8.0,3.0,-27.0,27.0,0.0,2000,
3.0,6.0,3.0,-27.0,-27.0,0.0,2000,

4.0,7.0,4.0,13.0,13.0,0.0,2000,
5.0,12.0,4.0,2.0,13.0,0.0,2000,

3.0,10.0,3.0,-14.0,-14.0,0.0,2000,
3.0,4.0,7.0,-14.0,-2.0,0.0,2000,
3.0,7.0,5.0,-14.0,12.0,0.0,2000,
6.0,4.0,3.0,4.0,-14.0,0.0,2000,
2.0,6.0,3.0,15.0,-14.0,0.0,2000,
5.0,8.0,5.0,12.0,-4.0,0.0,2000,

3.0,0.2,18.0,-7.0,0.0,0.0,2000,
3.0,0.2,24.0,21.0,0.0,0.0,2000,
3.0,0.2,24.0,-21.0,0.0,0.0,2000,
18.0,0.2,3.0,0.0,21.0,0.0,2000,
18.0,0.2,3.0,0.0,-21.0,0.0,2000,
11.0,0.2,3.0,7.0,5.0,0.0,2000,


4.0,15.0,5.0,1.0,-4.0,0.0,2000,
